t,count
2015-12-13 00:00:00,8
2015-12-12 23:45:00,6
2015-12-12 23:30:00,6
2015-12-12 23:15:00,12
2015-12-12 23:00:00,15
2015-12-12 22:45:00,15
2015-12-12 22:30:00,14
2015-12-12 22:15:00,12
2015-12-12 22:00:00,11
2015-12-12 21:45:00,12
2015-12-12 21:30:00,16
2015-12-12 21:15:00,15
2015-12-12 21:00:00,16
2015-12-12 20:45:00,19
2015-12-12 20:30:00,20
2015-12-12 20:15:00,27
2015-12-12 20:00:00,30
2015-12-12 19:45:00,34
2015-12-12 19:30:00,26
2015-12-12 19:15:00,36
2015-12-12 19:00:00,142
2015-12-12 18:45:00,182
2015-12-12 18:30:00,190
2015-12-12 18:15:00,213
2015-12-12 18:00:00,237
2015-12-12 17:45:00,249
2015-12-12 17:30:00,253
2015-12-12 17:15:00,238
2015-12-12 17:00:00,245
2015-12-12 16:45:00,248
2015-12-12 16:30:00,245
2015-12-12 16:15:00,252
2015-12-12 16:00:00,248
2015-12-12 15:45:00,254
2015-12-12 15:30:00,244
2015-12-12 15:15:00,245
2015-12-12 15:00:00,247
2015-12-12 14:45:00,227
2015-12-12 14:30:00,206
2015-12-12 14:15:00,187
2015-12-12 14:00:00,170
2015-12-12 13:45:00,167
2015-12-12 13:30:00,138
2015-12-12 13:15:00,128
2015-12-12 13:00:00,119
2015-12-12 12:45:00,101
2015-12-12 12:30:00,80
2015-12-12 12:15:00,53
2015-12-12 12:00:00,51
2015-12-12 11:45:00,41
2015-12-12 11:30:00,40
2015-12-12 11:15:00,35
2015-12-12 11:00:00,38
2015-12-12 10:45:00,32
2015-12-12 10:30:00,23
2015-12-12 10:15:00,15
2015-12-12 10:00:00,11
2015-12-12 09:45:00,8
2015-12-12 09:30:00,6
2015-12-12 09:15:00,8
2015-12-12 09:00:00,8
2015-12-12 08:45:00,8
2015-12-12 08:30:00,6
2015-12-12 08:15:00,6
2015-12-12 08:00:00,6
2015-12-12 07:45:00,8
2015-12-12 07:30:00,6
2015-12-12 07:15:00,7
2015-12-12 07:00:00,6
2015-12-12 06:45:00,6
2015-12-12 06:30:00,7
2015-12-12 06:15:00,6
2015-12-12 06:00:00,6
2015-12-12 05:45:00,6
2015-12-12 05:30:00,6
2015-12-12 05:15:00,6
2015-12-12 05:00:00,6
2015-12-12 04:45:00,5
2015-12-12 04:30:00,6
2015-12-12 04:15:00,6
2015-12-12 04:00:00,6
2015-12-12 03:45:00,6
2015-12-12 03:30:00,6
2015-12-12 03:15:00,6
2015-12-12 03:00:00,5
2015-12-12 02:45:00,6
2015-12-12 02:30:00,6
2015-12-12 02:15:00,7
2015-12-12 02:00:00,8
2015-12-12 01:45:00,7
2015-12-12 01:30:00,8
2015-12-12 01:15:00,10
2015-12-12 01:00:00,9
2015-12-12 00:45:00,9
2015-12-12 00:30:00,10
2015-12-12 00:15:00,11
2015-12-12 00:00:00,11
2015-12-11 23:45:00,11
2015-12-11 23:30:00,10
2015-12-11 23:15:00,16
2015-12-11 23:00:00,13
2015-12-11 22:45:00,19
2015-12-11 22:30:00,18
2015-12-11 22:15:00,14
2015-12-11 22:00:00,13
2015-12-11 21:45:00,23
2015-12-11 21:30:00,23
2015-12-11 21:15:00,35
2015-12-11 21:00:00,68
2015-12-11 20:45:00,74
2015-12-11 20:30:00,78
2015-12-11 20:15:00,94
2015-12-11 20:00:00,97
2015-12-11 19:45:00,104
2015-12-11 19:30:00,110
2015-12-11 19:15:00,104
2015-12-11 19:00:00,119
2015-12-11 18:45:00,118
2015-12-11 18:30:00,137
2015-12-11 18:15:00,149
2015-12-11 18:00:00,161
2015-12-11 17:45:00,192
2015-12-11 17:30:00,210
2015-12-11 17:15:00,205
2015-12-11 17:00:00,209
2015-12-11 16:45:00,226
2015-12-11 16:30:00,232
2015-12-11 16:15:00,235
2015-12-11 16:00:00,234
2015-12-11 15:45:00,243
2015-12-11 15:30:00,233
2015-12-11 15:15:00,224
2015-12-11 15:00:00,234
2015-12-11 14:45:00,212
2015-12-11 14:30:00,197
2015-12-11 14:15:00,212
2015-12-11 14:00:00,204
2015-12-11 13:45:00,196
2015-12-11 13:30:00,166
2015-12-11 13:15:00,179
2015-12-11 13:00:00,175
2015-12-11 12:45:00,194
2015-12-11 12:30:00,163
2015-12-11 12:15:00,190
2015-12-11 12:00:00,165
2015-12-11 11:45:00,128
2015-12-11 11:30:00,125
2015-12-11 11:15:00,124
2015-12-11 11:00:00,93
2015-12-11 10:45:00,81
2015-12-11 10:30:00,64
2015-12-11 10:15:00,67
2015-12-11 10:00:00,45
2015-12-11 09:45:00,41
2015-12-11 09:30:00,33
2015-12-11 09:15:00,23
2015-12-11 09:00:00,25
2015-12-11 08:45:00,15
2015-12-11 08:30:00,13
2015-12-11 08:15:00,13
2015-12-11 08:00:00,9
2015-12-11 07:45:00,10
2015-12-11 07:30:00,6
2015-12-11 07:15:00,6
2015-12-11 07:00:00,7
2015-12-11 06:45:00,6
2015-12-11 06:30:00,8
2015-12-11 06:15:00,8
2015-12-11 06:00:00,5
2015-12-11 05:45:00,6
2015-12-11 05:30:00,4
2015-12-11 05:15:00,4
2015-12-11 05:00:00,4
2015-12-11 04:45:00,5
2015-12-11 04:30:00,5
2015-12-11 04:15:00,5
2015-12-11 04:00:00,6
2015-12-11 03:45:00,5
2015-12-11 03:30:00,5
2015-12-11 03:15:00,6
2015-12-11 03:00:00,6
2015-12-11 02:45:00,5
2015-12-11 02:30:00,5
2015-12-11 02:15:00,5
2015-12-11 02:00:00,5
2015-12-11 01:45:00,6
2015-12-11 01:30:00,5
2015-12-11 01:15:00,7
2015-12-11 01:00:00,7
2015-12-11 00:45:00,6
2015-12-11 00:30:00,7
2015-12-11 00:15:00,7
2015-12-11 00:00:00,5
2015-12-10 23:45:00,5
2015-12-10 23:30:00,8
2015-12-10 23:15:00,8
2015-12-10 23:00:00,35
2015-12-10 22:45:00,46
2015-12-10 22:30:00,58
2015-12-10 22:15:00,78
2015-12-10 22:00:00,84
2015-12-10 21:45:00,90
2015-12-10 21:30:00,100
2015-12-10 21:15:00,107
2015-12-10 21:00:00,104
2015-12-10 20:45:00,114
2015-12-10 20:30:00,125
2015-12-10 20:15:00,131
2015-12-10 20:00:00,134
2015-12-10 19:45:00,125
2015-12-10 19:30:00,122
2015-12-10 19:15:00,126
2015-12-10 19:00:00,146
2015-12-10 18:45:00,147
2015-12-10 18:30:00,159
2015-12-10 18:15:00,192
2015-12-10 18:00:00,192
2015-12-10 17:45:00,195
2015-12-10 17:30:00,193
2015-12-10 17:15:00,193
2015-12-10 17:00:00,175
2015-12-10 16:45:00,178
2015-12-10 16:30:00,167
2015-12-10 16:15:00,183
2015-12-10 16:00:00,210
2015-12-10 15:45:00,198
2015-12-10 15:30:00,199
2015-12-10 15:15:00,193
2015-12-10 15:00:00,185
2015-12-10 14:45:00,186
2015-12-10 14:30:00,182
2015-12-10 14:15:00,185
2015-12-10 14:00:00,184
2015-12-10 13:45:00,181
2015-12-10 13:30:00,151
2015-12-10 13:15:00,183
2015-12-10 13:00:00,134
2015-12-10 12:45:00,149
2015-12-10 12:30:00,130
2015-12-10 12:15:00,143
2015-12-10 12:00:00,146
2015-12-10 11:45:00,128
2015-12-10 11:30:00,115
2015-12-10 11:15:00,103
2015-12-10 11:00:00,83
2015-12-10 10:45:00,71
2015-12-10 10:30:00,65
2015-12-10 10:15:00,70
2015-12-10 10:00:00,46
2015-12-10 09:45:00,32
2015-12-10 09:30:00,37
2015-12-10 09:15:00,31
2015-12-10 09:00:00,21
2015-12-10 08:45:00,14
2015-12-10 08:30:00,15
2015-12-10 08:15:00,15
2015-12-10 08:00:00,10
2015-12-10 07:45:00,10
2015-12-10 07:30:00,9
2015-12-10 07:15:00,9
2015-12-10 07:00:00,7
2015-12-10 06:45:00,8
2015-12-10 06:30:00,8
2015-12-10 06:15:00,8
2015-12-10 06:00:00,7
2015-12-10 05:45:00,7
2015-12-10 05:30:00,7
2015-12-10 05:15:00,7
2015-12-10 05:00:00,7
2015-12-10 04:45:00,6
2015-12-10 04:30:00,6
2015-12-10 04:15:00,6
2015-12-10 04:00:00,5
2015-12-10 03:45:00,7
2015-12-10 03:30:00,6
2015-12-10 03:15:00,7
2015-12-10 03:00:00,7
2015-12-10 02:45:00,7
2015-12-10 02:30:00,7
2015-12-10 02:15:00,7
2015-12-10 02:00:00,7
2015-12-10 01:45:00,7
2015-12-10 01:30:00,8
2015-12-10 01:15:00,7
2015-12-10 01:00:00,7
2015-12-10 00:45:00,6
2015-12-10 00:30:00,8
2015-12-10 00:15:00,8
2015-12-10 00:00:00,10
2015-12-09 23:45:00,12
2015-12-09 23:30:00,13
2015-12-09 23:15:00,18
2015-12-09 23:00:00,76
2015-12-09 22:45:00,78
2015-12-09 22:30:00,94
2015-12-09 22:15:00,108
2015-12-09 22:00:00,120
2015-12-09 21:45:00,121
2015-12-09 21:30:00,140
2015-12-09 21:15:00,133
2015-12-09 21:00:00,121
2015-12-09 20:45:00,142
