t,count
2014-12-14 00:00:00,337
2014-12-13 23:45:00,354
2014-12-13 23:30:00,360
2014-12-13 23:15:00,364
2014-12-13 23:00:00,395
2014-12-13 22:45:00,391
2014-12-13 22:30:00,430
2014-12-13 22:15:00,412
2014-12-13 22:00:00,414
2014-12-13 21:45:00,422
2014-12-13 21:30:00,441
2014-12-13 21:15:00,441
2014-12-13 21:00:00,452
2014-12-13 20:45:00,454
2014-12-13 20:30:00,440
2014-12-13 20:15:00,430
2014-12-13 20:00:00,431
2014-12-13 19:45:00,424
2014-12-13 19:30:00,446
2014-12-13 19:15:00,471
2014-12-13 19:00:00,460
2014-12-13 18:45:00,452
2014-12-13 18:30:00,468
2014-12-13 18:15:00,449
2014-12-13 18:00:00,435
2014-12-13 17:45:00,465
2014-12-13 17:30:00,452
2014-12-13 17:15:00,472
2014-12-13 17:00:00,435
2014-12-13 16:45:00,484
2014-12-13 16:30:00,503
2014-12-13 16:15:00,466
2014-12-13 16:00:00,493
2014-12-13 15:45:00,454
2014-12-13 15:30:00,479
2014-12-13 15:15:00,448
2014-12-13 15:00:00,475
2014-12-13 14:45:00,441
2014-12-13 14:30:00,450
2014-12-13 14:15:00,403
2014-12-13 14:00:00,426
2014-12-13 13:45:00,408
2014-12-13 13:30:00,392
2014-12-13 13:15:00,415
2014-12-13 13:00:00,370
2014-12-13 12:45:00,407
2014-12-13 12:30:00,407
2014-12-13 12:15:00,433
2014-12-13 12:00:00,394
2014-12-13 11:45:00,418
2014-12-13 11:30:00,345
2014-12-13 11:15:00,356
2014-12-13 11:00:00,292
2014-12-13 10:45:00,268
2014-12-13 10:30:00,200
2014-12-13 10:15:00,188
2014-12-13 10:00:00,178
2014-12-13 09:45:00,119
2014-12-13 09:30:00,119
2014-12-13 09:15:00,76
2014-12-13 09:00:00,72
2014-12-13 08:45:00,56
2014-12-13 08:30:00,47
2014-12-13 08:15:00,35
2014-12-13 08:00:00,33
2014-12-13 07:45:00,27
2014-12-13 07:30:00,26
2014-12-13 07:15:00,27
2014-12-13 07:00:00,28
2014-12-13 06:45:00,27
2014-12-13 06:30:00,29
2014-12-13 06:15:00,27
2014-12-13 06:00:00,31
2014-12-13 05:45:00,28
2014-12-13 05:30:00,32
2014-12-13 05:15:00,32
2014-12-13 05:00:00,36
2014-12-13 04:45:00,41
2014-12-13 04:30:00,46
2014-12-13 04:15:00,55
2014-12-13 04:00:00,64
2014-12-13 03:45:00,73
2014-12-13 03:30:00,72
2014-12-13 03:15:00,87
2014-12-13 03:00:00,88
2014-12-13 02:45:00,94
2014-12-13 02:30:00,92
2014-12-13 02:15:00,125
2014-12-13 02:00:00,138
2014-12-13 01:45:00,136
2014-12-13 01:30:00,143
2014-12-13 01:15:00,164
2014-12-13 01:00:00,196
2014-12-13 00:45:00,208
2014-12-13 00:30:00,247
2014-12-13 00:15:00,257
2014-12-13 00:00:00,280
2014-12-12 23:45:00,298
2014-12-12 23:30:00,309
2014-12-12 23:15:00,347
2014-12-12 23:00:00,372
2014-12-12 22:45:00,383
2014-12-12 22:30:00,388
2014-12-12 22:15:00,383
2014-12-12 22:00:00,403
2014-12-12 21:45:00,382
2014-12-12 21:30:00,399
2014-12-12 21:15:00,413
2014-12-12 21:00:00,376
2014-12-12 20:45:00,406
2014-12-12 20:30:00,367
2014-12-12 20:15:00,367
2014-12-12 20:00:00,324
2014-12-12 19:45:00,351
2014-12-12 19:30:00,340
2014-12-12 19:15:00,378
2014-12-12 19:00:00,371
2014-12-12 18:45:00,379
2014-12-12 18:30:00,394
2014-12-12 18:15:00,419
2014-12-12 18:00:00,487
2014-12-12 17:45:00,451
2014-12-12 17:30:00,497
2014-12-12 17:15:00,500
2014-12-12 17:00:00,546
2014-12-12 16:45:00,484
2014-12-12 16:30:00,506
2014-12-12 16:15:00,520
2014-12-12 16:00:00,543
2014-12-12 15:45:00,550
2014-12-12 15:30:00,504
2014-12-12 15:15:00,514
2014-12-12 15:00:00,421
2014-12-12 14:45:00,421
2014-12-12 14:30:00,401
2014-12-12 14:15:00,406
2014-12-12 14:00:00,374
2014-12-12 13:45:00,352
2014-12-12 13:30:00,328
2014-12-12 13:15:00,354
2014-12-12 13:00:00,332
2014-12-12 12:45:00,409
2014-12-12 12:30:00,476
2014-12-12 12:15:00,408
2014-12-12 12:00:00,393
2014-12-12 11:45:00,423
2014-12-12 11:30:00,418
2014-12-12 11:15:00,380
2014-12-12 11:00:00,381
2014-12-12 10:45:00,314
2014-12-12 10:30:00,282
2014-12-12 10:15:00,208
2014-12-12 10:00:00,217
2014-12-12 09:45:00,175
2014-12-12 09:30:00,156
2014-12-12 09:15:00,167
2014-12-12 09:00:00,114
2014-12-12 08:45:00,108
2014-12-12 08:30:00,55
2014-12-12 08:15:00,62
2014-12-12 08:00:00,35
2014-12-12 07:45:00,33
2014-12-12 07:30:00,33
2014-12-12 07:15:00,46
2014-12-12 07:00:00,76
2014-12-12 06:45:00,78
2014-12-12 06:30:00,71
2014-12-12 06:15:00,73
2014-12-12 06:00:00,72
2014-12-12 05:45:00,66
2014-12-12 05:30:00,74
2014-12-12 05:15:00,77
2014-12-12 05:00:00,79
2014-12-12 04:45:00,88
2014-12-12 04:30:00,93
2014-12-12 04:15:00,97
2014-12-12 04:00:00,107
2014-12-12 03:45:00,115
2014-12-12 03:30:00,125
2014-12-12 03:15:00,130
2014-12-12 03:00:00,132
2014-12-12 02:45:00,154
2014-12-12 02:30:00,175
2014-12-12 02:15:00,194
2014-12-12 02:00:00,226
2014-12-12 01:45:00,220
2014-12-12 01:30:00,233
2014-12-12 01:15:00,280
2014-12-12 01:00:00,477
2014-12-12 00:45:00,497
2014-12-12 00:30:00,612
2014-12-12 00:15:00,710
2014-12-12 00:00:00,523
2014-12-11 23:45:00,502
2014-12-11 23:30:00,461
2014-12-11 23:15:00,474
2014-12-11 23:00:00,454
2014-12-11 22:45:00,476
2014-12-11 22:30:00,478
2014-12-11 22:15:00,433
2014-12-11 22:00:00,470
2014-12-11 21:45:00,456
2014-12-11 21:30:00,481
2014-12-11 21:15:00,438
2014-12-11 21:00:00,463
2014-12-11 20:45:00,439
2014-12-11 20:30:00,449
2014-12-11 20:15:00,446
2014-12-11 20:00:00,435
2014-12-11 19:45:00,415
2014-12-11 19:30:00,411
2014-12-11 19:15:00,400
2014-12-11 19:00:00,393
2014-12-11 18:45:00,390
2014-12-11 18:30:00,398
2014-12-11 18:15:00,438
2014-12-11 18:00:00,505
2014-12-11 17:45:00,525
2014-12-11 17:30:00,526
2014-12-11 17:15:00,555
2014-12-11 17:00:00,495
2014-12-11 16:45:00,544
2014-12-11 16:30:00,523
2014-12-11 16:15:00,539
2014-12-11 16:00:00,511
2014-12-11 15:45:00,510
2014-12-11 15:30:00,540
2014-12-11 15:15:00,501
2014-12-11 15:00:00,544
2014-12-11 14:45:00,522
2014-12-11 14:30:00,540
2014-12-11 14:15:00,543
2014-12-11 14:00:00,514
2014-12-11 13:45:00,534
2014-12-11 13:30:00,461
2014-12-11 13:15:00,491
2014-12-11 13:00:00,453
2014-12-11 12:45:00,473
2014-12-11 12:30:00,428
2014-12-11 12:15:00,430
2014-12-11 12:00:00,425
2014-12-11 11:45:00,435
2014-12-11 11:30:00,420
2014-12-11 11:15:00,405
2014-12-11 11:00:00,389
2014-12-11 10:45:00,362
2014-12-11 10:30:00,347
2014-12-11 10:15:00,302
2014-12-11 10:00:00,304
2014-12-11 09:45:00,242
2014-12-11 09:30:00,199
2014-12-11 09:15:00,139
2014-12-11 09:00:00,116
2014-12-11 08:45:00,76
2014-12-11 08:30:00,72
2014-12-11 08:15:00,63
2014-12-11 08:00:00,63
2014-12-11 07:45:00,70
2014-12-11 07:30:00,64
2014-12-11 07:15:00,66
2014-12-11 07:00:00,66
2014-12-11 06:45:00,77
2014-12-11 06:30:00,68
2014-12-11 06:15:00,81
2014-12-11 06:00:00,77
2014-12-11 05:45:00,82
2014-12-11 05:30:00,82
2014-12-11 05:15:00,88
2014-12-11 05:00:00,91
2014-12-11 04:45:00,100
2014-12-11 04:30:00,100
2014-12-11 04:15:00,106
2014-12-11 04:00:00,106
2014-12-11 03:45:00,115
2014-12-11 03:30:00,122
2014-12-11 03:15:00,155
2014-12-11 03:00:00,168
2014-12-11 02:45:00,197
2014-12-11 02:30:00,211
2014-12-11 02:15:00,225
2014-12-11 02:00:00,254
2014-12-11 01:45:00,266
2014-12-11 01:30:00,294
2014-12-11 01:15:00,298
2014-12-11 01:00:00,315
2014-12-11 00:45:00,344
2014-12-11 00:30:00,338
2014-12-11 00:15:00,363
2014-12-11 00:00:00,379
2014-12-10 23:45:00,390
2014-12-10 23:30:00,427
2014-12-10 23:15:00,437
2014-12-10 23:00:00,407
2014-12-10 22:45:00,395
2014-12-10 22:30:00,395
2014-12-10 22:15:00,401
2014-12-10 22:00:00,409
2014-12-10 21:45:00,426
2014-12-10 21:30:00,461
2014-12-10 21:15:00,427
2014-12-10 21:00:00,429
2014-12-10 20:45:00,401
2014-12-10 20:30:00,417
2014-12-10 20:15:00,394
2014-12-10 20:00:00,412
2014-12-10 19:45:00,402
2014-12-10 19:30:00,417
2014-12-10 19:15:00,402
2014-12-10 19:00:00,423
2014-12-10 18:45:00,414
2014-12-10 18:30:00,468
2014-12-10 18:15:00,539
2014-12-10 18:00:00,536
2014-12-10 17:45:00,568
2014-12-10 17:30:00,560
2014-12-10 17:15:00,582
2014-12-10 17:00:00,545
2014-12-10 16:45:00,554
2014-12-10 16:30:00,502
2014-12-10 16:15:00,511
2014-12-10 16:00:00,561
2014-12-10 15:45:00,510
2014-12-10 15:30:00,537
2014-12-10 15:15:00,504
2014-12-10 15:00:00,523
2014-12-10 14:45:00,503
2014-12-10 14:30:00,557
2014-12-10 14:15:00,469
2014-12-10 14:00:00,508
2014-12-10 13:45:00,449
2014-12-10 13:30:00,452
2014-12-10 13:15:00,417
2014-12-10 13:00:00,439
2014-12-10 12:45:00,420
2014-12-10 12:30:00,440
2014-12-10 12:15:00,494
2014-12-10 12:00:00,452
2014-12-10 11:45:00,456
2014-12-10 11:30:00,404
2014-12-10 11:15:00,412
2014-12-10 11:00:00,354
2014-12-10 10:45:00,352
2014-12-10 10:30:00,301
2014-12-10 10:15:00,276
2014-12-10 10:00:00,205
2014-12-10 09:45:00,191
2014-12-10 09:30:00,156
2014-12-10 09:15:00,125
2014-12-10 09:00:00,101
2014-12-10 08:45:00,81
2014-12-10 08:30:00,69
2014-12-10 08:15:00,49
2014-12-10 08:00:00,39
2014-12-10 07:45:00,30
2014-12-10 07:30:00,37
2014-12-10 07:15:00,46
2014-12-10 07:00:00,52
2014-12-10 06:45:00,48
2014-12-10 06:30:00,49
2014-12-10 06:15:00,58
2014-12-10 06:00:00,52
2014-12-10 05:45:00,56
2014-12-10 05:30:00,56
2014-12-10 05:15:00,60
2014-12-10 05:00:00,71
2014-12-10 04:45:00,81
2014-12-10 04:30:00,76
2014-12-10 04:15:00,89
2014-12-10 04:00:00,97
2014-12-10 03:45:00,107
2014-12-10 03:30:00,114
2014-12-10 03:15:00,139
2014-12-10 03:00:00,141
2014-12-10 02:45:00,155
2014-12-10 02:30:00,180
2014-12-10 02:15:00,191
