t,count
2014-12-14 00:00:00,345
2014-12-13 23:45:00,352
2014-12-13 23:30:00,380
2014-12-13 23:15:00,395
2014-12-13 23:00:00,405
2014-12-13 22:45:00,415
2014-12-13 22:30:00,425
2014-12-13 22:15:00,423
2014-12-13 22:00:00,416
2014-12-13 21:45:00,411
2014-12-13 21:30:00,399
2014-12-13 21:15:00,419
2014-12-13 21:00:00,411
2014-12-13 20:45:00,378
2014-12-13 20:30:00,391
2014-12-13 20:15:00,390
2014-12-13 20:00:00,386
2014-12-13 19:45:00,410
2014-12-13 19:30:00,415
2014-12-13 19:15:00,431
2014-12-13 19:00:00,418
2014-12-13 18:45:00,405
2014-12-13 18:30:00,440
2014-12-13 18:15:00,440
2014-12-13 18:00:00,464
2014-12-13 17:45:00,472
2014-12-13 17:30:00,465
2014-12-13 17:15:00,446
2014-12-13 17:00:00,464
2014-12-13 16:45:00,470
2014-12-13 16:30:00,470
2014-12-13 16:15:00,447
2014-12-13 16:00:00,445
2014-12-13 15:45:00,421
2014-12-13 15:30:00,433
2014-12-13 15:15:00,432
2014-12-13 15:00:00,424
2014-12-13 14:45:00,408
2014-12-13 14:30:00,383
2014-12-13 14:15:00,354
2014-12-13 14:00:00,360
2014-12-13 13:45:00,362
2014-12-13 13:30:00,345
2014-12-13 13:15:00,321
2014-12-13 13:00:00,292
2014-12-13 12:45:00,305
2014-12-13 12:30:00,280
2014-12-13 12:15:00,287
2014-12-13 12:00:00,260
2014-12-13 11:45:00,247
2014-12-13 11:30:00,196
2014-12-13 11:15:00,182
2014-12-13 11:00:00,136
2014-12-13 10:45:00,97
2014-12-13 10:30:00,62
2014-12-13 10:15:00,44
2014-12-13 10:00:00,7
2014-12-13 09:45:00,3
2014-12-13 09:30:00,3
2014-12-13 09:15:00,3
2014-12-13 09:00:00,3
2014-12-13 08:45:00,2
2014-12-13 08:30:00,1
2014-12-13 08:15:00,1
2014-12-13 08:00:00,1
2014-12-13 07:45:00,1
